"C","Real-Time Energy Market Hourly LMP Report"
"C","Filename: lmp_rt_final_20190122.csv"
"C","Report for: 01/22/2019 - 01/22/2019"
"C","Report generated: 03/30/2020 17:51:59 EDT"
"H","Date","Hour Ending","Location ID","Location Name","Location Type","Locational Marginal Price","Energy Component","Congestion Component","Marginal Loss Component"
"H","Date","HE","String","String","String","Number","Number","Number","Number"
"D","01/22/2019",01,"637","UN.WYMAN_HY13.8WYM2","NETWORK NODE",117.67,128.78,0.27,-11.38
"D","01/22/2019",01,"638","UN.WYMAN_HY13.8WYM3","NETWORK NODE",117.67,128.78,0.27,-11.38
"D","01/22/2019",01,"639","UN.YARMOUTH13.2YAR1","NETWORK NODE",128.21,128.78,0.27,-0.84
"D","01/22/2019",01,"640","UN.YARMOUTH13.2YAR2","NETWORK NODE",128.21,128.78,0.27,-0.84
"D","01/22/2019",01,"641","UN.YARMOUTH13.8YAR3","NETWORK NODE",128.21,128.78,0.27,-0.84
"D","01/22/2019",01,"642","UN.YARMOUTH22  YAR4","NETWORK NODE",126.6,128.78,0.27,-2.45
"D","01/22/2019",01,"739","UN.ROCKY_RV13.8ROCK","NETWORK NODE",129.86,128.78,0.27,0.81
"D","01/22/2019",01,"754","UN.LOUDEN  34.5BARM","NETWORK NODE",127.51,128.78,0.27,-1.54
"D","01/22/2019",01,"755","UN.W_BUXTON34.5BONE","NETWORK NODE",127.55,128.78,0.27,-1.5
"D","01/22/2019",01,"757","UN.HARRIS  13.2HAR4","NETWORK NODE",117.67,128.78,0.27,-11.38
"D","01/22/2019",01,"760","UN.LOUDEN  34.5NGOR","NETWORK NODE",127.51,128.78,0.27,-1.54
"D","01/22/2019",01,"761","UN.WINSLOW 34.5SHAW","NETWORK NODE",124.21,128.78,0.27,-4.84
"D","01/22/2019",01,"767","UN.OAK_HILL34.5CONC","NETWORK NODE",125.84,128.78,0.27,-3.21
"D","01/22/2019",01,"768","UN.GARVINS 34.5GARV","NETWORK NODE",125.03,128.78,0.27,-4.02
"D","01/22/2019",01,"769","UN.N_CANAL 34.5HADL","NETWORK NODE",130.79,128.78,0.27,1.74
"D","01/22/2019",01,"774","UN.E_FAIRFX34.5LLAM","NETWORK NODE",123.63,128.78,0.27,-5.42
"D","01/22/2019",01,"779","UN.MIDDLESX34.5MSX2","NETWORK NODE",126.74,128.78,0.27,-2.31
"D","01/22/2019",01,"783","UN.HIGHGATE46  HGFA","NETWORK NODE",70.24,128.78,-48.32,-10.22
"D","01/22/2019",01,"1005","UN.DIGHTON 115 DIGH","NETWORK NODE",130.41,128.78,0.27,1.36
"D","01/22/2019",01,"1030","UN.FALMOUTH25  OAKB","NETWORK NODE",128.59,128.78,0.27,-0.46
"D","01/22/2019",01,"1031","UN.FALMOUTH25  WTIS","NETWORK NODE",128.59,128.78,0.27,-0.46
"D","01/22/2019",01,"1032","UN.BPT_ENER16  BHCC","NETWORK NODE",129.4,128.78,0.27,0.35
"D","01/22/2019",01,"1086","UN.BERK_PWR21  BERK","NETWORK NODE",130.66,128.78,0.27,1.61
"D","01/22/2019",01,"1107","UN.SAPHINCK13.8SOMR","NETWORK NODE",122.33,128.78,0.27,-6.72
"D","01/22/2019",01,"1185","UN.STONYBRK13.2ST1A","NETWORK NODE",129.99,128.78,0.27,0.94
"D","01/22/2019",01,"1186","UN.STONYBRK13.2ST1B","NETWORK NODE",129.99,128.78,0.27,0.94
"D","01/22/2019",01,"1187","UN.STONYBRK13.2ST1C","NETWORK NODE",129.99,128.78,0.27,0.94
"D","01/22/2019",01,"1210","UN.MILLENUM16  MILN","NETWORK NODE",129.76,128.78,0.27,0.71
"D","01/22/2019",01,"1221","UN.ESSEX   34.5ESSD","NETWORK NODE",126.98,128.78,0.27,-2.07
"D","01/22/2019",01,"1226","UN.TIVERTON18.0TIVR","NETWORK NODE",133.59,128.78,0.27,4.54
"D","01/22/2019",01,"1255","UN.RUMFD_IP18.0RUMF","NETWORK NODE",122.46,128.78,0.27,-6.59
"D","01/22/2019",01,"1286","UN.BLKSTONE21  BKS1","NETWORK NODE",128.73,128.78,0.27,-0.32
"D","01/22/2019",01,"1287","UN.BLKSTONE21  BKS2","NETWORK NODE",128.73,128.78,0.27,-0.32
"D","01/22/2019",01,"1342","UN.LAKE_RD 21  LRD1","NETWORK NODE",128.68,128.78,0.27,-0.37
"D","01/22/2019",01,"1343","UN.LAKE_RD 21  LRD2","NETWORK NODE",128.68,128.78,0.27,-0.37
"D","01/22/2019",01,"1344","UN.LAKE_RD 21  LRD3","NETWORK NODE",128.68,128.78,0.27,-0.37
"D","01/22/2019",01,"1376","UN.WALNGFRD13.8WAL1","NETWORK NODE",130.48,128.78,0.27,1.43
"D","01/22/2019",01,"1377","UN.WALNGFRD13.8WAL2","NETWORK NODE",130.48,128.78,0.27,1.43
"D","01/22/2019",01,"1378","UN.WALNGFRD13.8WAL3","NETWORK NODE",130.48,128.78,0.27,1.43
"D","01/22/2019",01,"1379","UN.WALNGFRD13.8WAL4","NETWORK NODE",130.48,128.78,0.27,1.43
"D","01/22/2019",01,"1380","UN.WALNGFRD13.8WAL5","NETWORK NODE",130.48,128.78,0.27,1.43
"D","01/22/2019",01,"1385","UN.MILFD_CT21  MFD1","NETWORK NODE",128.98,128.78,0.27,-0.07
"D","01/22/2019",01,"1386","UN.MILFD_CT21  MFD2","NETWORK NODE",128.98,128.78,0.27,-0.07
"D","01/22/2019",01,"1412","UN.BELL_30321  BEL1","NETWORK NODE",128.89,128.78,0.27,-0.16
"D","01/22/2019",01,"1415","UN.BELL_30321  BEL2","NETWORK NODE",128.89,128.78,0.27,-0.16
"D","01/22/2019",01,"1432","UN.SYKES_RD13.8FLRV","NETWORK NODE",131.83,128.78,0.27,2.78
"D","01/22/2019",01,"1478","UN.MYSTIC  18.1MYS8","NETWORK NODE",128.57,128.78,0.27,-0.48
"D","01/22/2019",01,"1616","UN.MYSTIC  18.1MYS9","NETWORK NODE",129.13,128.78,0.27,0.08
"D","01/22/2019",01,"1630","UN.RISE    18.0RISE","NETWORK NODE",129.41,128.78,0.27,0.36
"D","01/22/2019",01,"1649","UN.NEW_ENER18.0NEWE","NETWORK NODE",126.94,128.78,0.27,-2.11
"D","01/22/2019",01,"1672","UN.KENDALL 18.0KEN4","NETWORK NODE",128.75,128.78,0.27,-0.3
